rank_by_installs,title,developer,category,installs,ratings,reviews,rating_ratio_pct,review_ratio_pct,flags,ad_supported,offers_iap,pp_is_http,privacy_policy,appId,first_keyword,matched_keywords,url
19,TomTom GO Expert: Truck GPS,TomTom International BV,Maps & Navigation,21803290,271419,3545,1.2449,1.3061,rev/rat<2% (text-less stars),False,True,False,https://www.tomtom.com/en_gb/navigation/mobile-apps/go-navigation-app/privacy-policy/,com.tomtom.gplay.navapp,truck gps,truck gps;truck navigation,https://play.google.com/store/apps/details?id=com.tomtom.gplay.navapp&hl=en&gl=us
20,WiFi Password Scan & WiFi Map,SMI Team,Tools,17349994,0,0,0.0,0,ratings/installs<0.1%,True,True,False,https://docs.google.com/document/d/e/2PACX-1vT2Yr29rO-GIrjVKD4OQxTQM1vrO7nQ6mvdDlYi2RDnw2VrgMysxMyA7dDIXwuWekaE5uSnzo43vYKr/pub,com.wifipassword.wifimap.wifiscan,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.wifipassword.wifimap.wifiscan&hl=en&gl=us
21,All Router Admin - Setup WiFi,Phuongpn,Tools,17100458,81532,683,0.4768,0.8377,rev/rat<2% (text-less stars),True,False,False,https://phuongpndev.web.app/allrouteradmn-privacy/,com.phuongpn.wifiroutersetup.wifinetworkinfo,router,router;router admin;router config,https://play.google.com/store/apps/details?id=com.phuongpn.wifiroutersetup.wifinetworkinfo&hl=en&gl=us
22,Truck Masters: India Simulator,Highbrow Interactive,Simulation,16911652,155202,63,0.9177,0.0406,"rev/rat<2% (text-less stars) | huge ratings, no reviews",True,True,False,https://highbrowinteractive.com/privacy-policy/,com.highbrowinteractive.truck.masters.india.highway.driving.simulator.game,trucking,trucking;truck driver,https://play.google.com/store/apps/details?id=com.highbrowinteractive.truck.masters.india.highway.driving.simulator.game&hl=en&gl=us
23,Coverage - Cell and WiFi Test,Wave Analytics LLC,Tools,14491475,69031,664,0.4764,0.9619,rev/rat<2% (text-less stars),False,False,False,https://waveanalyticsllc.com/privacy-policy/,net.pinpointglobal.surveyapp,signal strength,signal strength;cell signal;network signal;cellular signal;lte signal,https://play.google.com/store/apps/details?id=net.pinpointglobal.surveyapp&hl=en&gl=us
24,Speed test 4G 5G WiFi & maps,nPerf.com,Tools,13056530,503049,2990,3.8529,0.5944,rev/rat<2% (text-less stars),True,True,False,https://www.nperf.com/en/privacy-policy,com.nperf.tester,signal strength,signal strength;network signal;cellular signal;lte signal;5g signal,https://play.google.com/store/apps/details?id=com.nperf.tester&hl=en&gl=us
25,Truck Simulator : Death Road,BladePoint Game Studio,Simulation,12944610,9953,78,0.0769,0.7837,ratings/installs<0.1% | rev/rat<2% (text-less stars),False,True,False,https://bladepointgamestudio.com/drts/privacypolicy.html,com.bp.death.road.truck.simulator,truck driver,truck driver,https://play.google.com/store/apps/details?id=com.bp.death.road.truck.simulator&hl=en&gl=us
26,WiFi Router Manager: Scan WiFi,WiFi Router Manager - WiFi Repeater,Tools,12544898,49957,423,0.3982,0.8467,rev/rat<2% (text-less stars),True,True,False,https://bestlilyy.github.io/privacy_policy.html,com.wifirouter.wifimanager.wifibooter.wifimonitor,router,router,https://play.google.com/store/apps/details?id=com.wifirouter.wifimanager.wifibooter.wifimonitor&hl=en&gl=us
27,Trucker Joe,Sundrum Development,Simulation,11450977,60325,994,0.5268,1.6477,rev/rat<2% (text-less stars),True,True,True,http://www.sundrumdevelopment.com/privacy.htm,de.sundrumdevelopment.truckerjoe,trucker,trucker;trucking,https://play.google.com/store/apps/details?id=de.sundrumdevelopment.truckerjoe&hl=en&gl=us
28,WiFi Password Hacker Prank,Luko Parallel App Pvt Ltd,Tools,10841352,26049,151,0.2403,0.5797,rev/rat<2% (text-less stars),True,False,False,https://lukoparallelapp.blogspot.com/2022/12/privacypolicy.html,com.prime.studio.apps.wifi.password.hacker,wifi password,wifi password,https://play.google.com/store/apps/details?id=com.prime.studio.apps.wifi.password.hacker&hl=en&gl=us
